epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,544.966,0.65126,0.36069,0.01037,1,0.97838,0.992,0.85891,0.59902,0.20132,0.013,0.0011684,0.0011684,0.0011684
44,557.018,0.63486,0.33894,0.01004,0.98978,0.9879,0.99404,0.89909,0.52544,0.21154,0.0105,0.0011486,0.0011486,0.0011486
45,569.02,0.62009,0.35021,0.00996,0.97817,0.97959,0.99316,0.86754,0.56333,0.2292,0.01167,0.0011288,0.0011288,0.0011288
46,581.123,0.63127,0.35744,0.01006,0.98972,0.98249,0.99357,0.8919,0.53722,0.27778,0.01082,0.001109,0.001109,0.001109
47,593.081,0.60827,0.35236,0.0098,0.97979,0.98916,0.99299,0.88932,0.608,0.23768,0.01297,0.0010892,0.0010892,0.0010892
48,605.161,0.65279,0.35216,0.01011,0.99893,0.9898,0.99242,0.897,0.48624,0.15481,0.0106,0.0010694,0.0010694,0.0010694
49,617.153,0.59698,0.35318,0.00924,0.9982,0.97959,0.99309,0.89698,0.46775,0.16212,0.01,0.0010496,0.0010496,0.0010496
50,629.314,0.60399,0.34145,0.00954,0.99815,0.9898,0.99399,0.89941,0.49849,0.16229,0.01033,0.0010298,0.0010298,0.0010298
51,641.394,0.60064,0.34143,0.0093,0.9893,0.9898,0.9946,0.89171,0.49357,0.15993,0.01098,0.00101,0.00101,0.00101
52,653.334,0.61618,0.32733,0.00956,0.98911,0.9898,0.98912,0.89822,0.45262,0.17259,0.01008,0.0009902,0.0009902,0.0009902
53,665.36,0.59778,0.34281,0.00975,0.95993,0.97779,0.99264,0.87326,0.50804,0.20128,0.01142,0.0009704,0.0009704,0.0009704
54,677.357,0.58724,0.3265,0.00945,0.99538,0.97959,0.99441,0.91256,0.43247,0.14603,0.00953,0.0009506,0.0009506,0.0009506
55,689.376,0.59878,0.31098,0.00974,0.99611,0.9898,0.99297,0.90411,0.45179,0.15334,0.00964,0.0009308,0.0009308,0.0009308
56,701.451,0.58696,0.32728,0.00923,0.98905,0.9898,0.99419,0.91216,0.47941,0.15968,0.0097,0.000911,0.000911,0.000911
57,713.419,0.55263,0.30483,0.00877,0.98988,0.99796,0.99429,0.90682,0.48922,0.15667,0.01082,0.0008912,0.0008912,0.0008912
58,725.5,0.55227,0.31626,0.00828,0.98967,0.97809,0.99393,0.8988,0.45012,0.15367,0.0096,0.0008714,0.0008714,0.0008714
59,737.503,0.55366,0.28313,0.00873,1,0.99876,0.995,0.92025,0.40459,0.12674,0.00855,0.0008516,0.0008516,0.0008516
60,749.647,0.55868,0.30983,0.0083,0.99914,0.9898,0.9949,0.91498,0.47232,0.13714,0.00989,0.0008318,0.0008318,0.0008318
61,761.797,0.55471,0.30805,0.00877,0.9794,0.9898,0.9942,0.91227,0.44639,0.14718,0.00935,0.000812,0.000812,0.000812
62,773.98,0.55206,0.2883,0.00832,1,0.99839,0.995,0.90722,0.43443,0.13452,0.00931,0.0007922,0.0007922,0.0007922
63,786.151,0.55835,0.28232,0.00861,0.99859,0.97959,0.9945,0.9113,0.46882,0.15786,0.0098,0.0007724,0.0007724,0.0007724
64,798.414,0.55844,0.29768,0.00846,0.98981,0.99113,0.9949,0.9163,0.46529,0.14826,0.00969,0.0007526,0.0007526,0.0007526
65,810.368,0.52512,0.28084,0.00832,0.9899,0.99966,0.9949,0.92595,0.46702,0.14171,0.01017,0.0007328,0.0007328,0.0007328
66,822.421,0.52651,0.28094,0.00809,0.98826,0.97959,0.9935,0.92041,0.455,0.15718,0.01024,0.000713,0.000713,0.000713
67,834.419,0.51008,0.25614,0.00798,0.99899,0.9898,0.9949,0.93367,0.39564,0.12219,0.00799,0.0006932,0.0006932,0.0006932
68,846.456,0.51636,0.28223,0.00799,0.97968,0.98373,0.99411,0.91444,0.48527,0.15724,0.01072,0.0006734,0.0006734,0.0006734
69,858.461,0.52282,0.28793,0.0082,1,0.98976,0.995,0.90656,0.50226,0.15854,0.01138,0.0006536,0.0006536,0.0006536
70,870.557,0.5068,0.26815,0.00775,0.98974,0.9843,0.9946,0.91538,0.4727,0.16143,0.01047,0.0006338,0.0006338,0.0006338
71,882.465,0.50831,0.25867,0.00776,0.99881,0.9898,0.9949,0.92557,0.46365,0.14127,0.0099,0.000614,0.000614,0.000614
72,894.494,0.49473,0.24853,0.00777,0.98968,1,0.9949,0.93186,0.38324,0.12746,0.00787,0.0005942,0.0005942,0.0005942
73,906.548,0.48951,0.23866,0.00722,0.97977,0.98835,0.99403,0.91788,0.48069,0.16737,0.01034,0.0005744,0.0005744,0.0005744
74,918.697,0.51907,0.27866,0.00761,0.99878,0.9898,0.99433,0.91856,0.4743,0.15176,0.01045,0.0005546,0.0005546,0.0005546
75,930.767,0.46408,0.23409,0.0069,0.98886,1,0.9948,0.92137,0.46631,0.14559,0.01023,0.0005348,0.0005348,0.0005348
76,942.857,0.48884,0.24383,0.00756,0.99835,1,0.995,0.92117,0.46546,0.13817,0.01025,0.000515,0.000515,0.000515
77,954.98,0.46617,0.2291,0.00734,0.99887,0.9898,0.9948,0.93696,0.43464,0.13429,0.00948,0.0004952,0.0004952,0.0004952
78,967.039,0.47318,0.24014,0.00697,0.99762,1,0.995,0.92637,0.4706,0.14967,0.00999,0.0004754,0.0004754,0.0004754
79,979.171,0.4803,0.25397,0.00733,1,0.98958,0.9948,0.93018,0.43775,0.13625,0.00967,0.0004556,0.0004556,0.0004556
80,991.341,0.47145,0.24556,0.00724,1,0.99962,0.995,0.92594,0.44416,0.13441,0.00971,0.0004358,0.0004358,0.0004358
81,1003.33,0.45863,0.22507,0.00709,0.99849,1,0.995,0.93236,0.39965,0.12043,0.00825,0.000416,0.000416,0.000416
82,1015.43,0.46669,0.23541,0.00738,0.99369,0.9898,0.9948,0.9303,0.41194,0.1328,0.00888,0.0003962,0.0003962,0.0003962
83,1027.48,0.4604,0.22656,0.00696,1,0.99886,0.995,0.93869,0.41469,0.1259,0.00898,0.0003764,0.0003764,0.0003764
84,1039.52,0.45967,0.23204,0.00684,0.99874,1,0.995,0.92932,0.42621,0.12917,0.00942,0.0003566,0.0003566,0.0003566
85,1051.66,0.46049,0.24753,0.00696,0.99917,1,0.995,0.9339,0.4512,0.13036,0.01003,0.0003368,0.0003368,0.0003368
86,1063.87,0.44402,0.22041,0.00682,1,0.99945,0.995,0.93454,0.44937,0.14418,0.00978,0.000317,0.000317,0.000317
87,1075.98,0.45401,0.22625,0.00703,0.99585,1,0.995,0.92276,0.44733,0.14519,0.00977,0.0002972,0.0002972,0.0002972
88,1088.09,0.45612,0.2255,0.00688,0.99943,1,0.995,0.93156,0.43841,0.12969,0.00963,0.0002774,0.0002774,0.0002774
89,1100.1,0.43617,0.21323,0.0066,1,0.99962,0.995,0.92863,0.45012,0.14178,0.00977,0.0002576,0.0002576,0.0002576
90,1112.26,0.45132,0.22402,0.00674,0.99776,0.9898,0.9949,0.92673,0.44094,0.14114,0.00956,0.0002378,0.0002378,0.0002378
91,1125.38,0.30033,0.12202,0.0063,0.98948,1,0.9949,0.92726,0.45422,0.14271,0.01017,0.000218,0.000218,0.000218
92,1137.36,0.3096,0.12235,0.00726,0.99865,1,0.995,0.91961,0.45961,0.14012,0.01049,0.0001982,0.0001982,0.0001982
93,1149.16,0.29796,0.11513,0.00678,0.98771,1,0.9948,0.9312,0.44859,0.13782,0.00983,0.0001784,0.0001784,0.0001784
94,1161.03,0.28756,0.11034,0.00639,0.997,1,0.995,0.92506,0.42534,0.13206,0.00942,0.0001586,0.0001586,0.0001586
95,1172.94,0.28805,0.11478,0.00627,0.9993,0.9898,0.9947,0.9259,0.43042,0.13287,0.00929,0.0001388,0.0001388,0.0001388
96,1184.88,0.27639,0.11938,0.00597,0.98951,1,0.99419,0.9308,0.43048,0.13773,0.00935,0.000119,0.000119,0.000119
97,1196.79,0.27831,0.11075,0.00603,0.98629,1,0.99429,0.93002,0.42773,0.14044,0.00931,9.92e-05,9.92e-05,9.92e-05
98,1208.61,0.27809,0.10811,0.00599,0.9886,1,0.99439,0.93675,0.41191,0.13593,0.00891,7.94e-05,7.94e-05,7.94e-05
99,1220.54,0.27299,0.09729,0.00581,0.97988,1,0.99429,0.93233,0.41465,0.13868,0.00905,5.96e-05,5.96e-05,5.96e-05
100,1232.48,0.2667,0.10082,0.0057,0.98977,0.9898,0.99429,0.93834,0.40576,0.1337,0.00882,3.98e-05,3.98e-05,3.98e-05
